Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Finland,FIN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.84,0.89,1.19,1.15,0.72,0.71,0.58,0.58,0.84,0.74,0.6,0.57,0.44,0.33,0.35,0.31,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,FJI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,FRA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1.34,1.09,1.04,1.26,1.15,1.39,1.25,1.09,0.94,0.89,0.98,0.62,1.11,0.45,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,FRO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Micronesia, Fed. Sts.",FSM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,GAB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,20.53,14.78,14.98,18.25,20.71,27.19,22.94,33.85,23.27,13.26,10.65,11.51,13.72,14.74,12.56,10.21,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,GBR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2.26,1.37,1.25,1.16,1.19,1.35,1.57,1.28,1.74,1.61,1.31,0.83,0.69,0.58,0.57,0.63,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,GEO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.69,0.36,0.41,0.42,0.61,0.91,0.33,0.29,0.14,0.46,0.32,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,GHA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gibraltar,GIB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea,GIN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gambia, The",GMB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,GNB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,GNQ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,GRC,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,16.63,15.97,16.0,15.04,14.26,15.49,15.95,15.38,15.88,12.57,10.61,10.0,10.0,9.48,11.01,10.93,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,GRD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,GRL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,GTM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,39.37,43.45,42.46,37.08,28.38,26.65,31.19,39.48,31.52,42.79,23.0,22.6,19.96,17.05,14.14,18.25,0.0,0.0,0.0,0.0,0.0,0.0
Guam,GUM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,GUY,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High income,HIC,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,6.15,6.14,5.9,6.2,5.61,5.43,4.59,4.61,4.19,3.68,3.33,3.5,3.81,3.28,3.14,2.98,0.0,0.0,0.0,0.0,0.0,0.0
"Hong Kong SAR, China",HKG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.49,0.48,0.5,0.57,0.64,0.39,0.38,0.29,0.36,0.35,0.28,0.29,2.13,0.4,0.58,0.49,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,HND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,38.09,50.75,60.03,60.82,70.03,67.05,63.07,62.4,62.01,55.25,52.19,51.9,49.5,52.09,55.66,56.69,0.0,0.0,0.0,0.0,0.0,0.0
Heavily indebted poor countries (HIPC),HPC,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,9.44,10.03,10.4,11.56,13.0,12.57,12.75,13.48,13.72,12.39,9.73,10.51,11.06,10.28,10.52,11.55,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,HRV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,14.98,16.7,17.46,24.78,11.99,14.21,15.17,18.45,15.53,15.06,3.78,6.69,5.49,1.65,0.96,1.97,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,HTI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,48.26,52.36,52.47,52.34,52.47,52.34,52.46,67.09,62.76,71.29,69.85,87.17,79.91,86.64,91.29,92.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,HUN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,12.51,11.51,5.91,4.76,2.29,1.27,1.45,1.34,0.89,1.76,1.31,0.4,0.53,0.26,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.0
IBRD only,IBD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,8.5,7.83,7.42,6.73,6.52,5.61,4.97,4.54,4.44,4.1,3.79,4.0,3.95,3.7,3.38,2.97,0.0,0.0,0.0,0.0,0.0,0.0
